mouseLigand	mouseReceptor
Edn3	Ednrb
Efna1	Epha1
Efna1	Epha2
Efna1	Epha3
Efna1	Epha4
Efna1	Epha5
Efna1	Epha6
Efna1	Epha7
Efna1	Epha8
Efna2	Epha2
Efna2	Epha3
Efna2	Epha4
Efna2	Epha5
Efna2	Epha6
Efna2	Epha7
Efna2	Epha8
Efna3	Epha1
Efna3	Epha2
Efna3	Epha3
Efna3	Epha4
Efna3	Epha5
Efna3	Epha6
Efna3	Epha7
Efna3	Epha8
Efna3	Ephb1
Efna4	Epha2
Efna4	Epha3
Efna4	Epha4
Efna4	Epha5
Efna4	Epha6
Efna4	Epha7
Efna4	Epha8
Efna5	Epha2
Efna5	Epha3
Efna5	Epha4
Efna5	Epha5
Efna5	Epha6
Efna5	Epha7
Efna5	Epha8
Efna5	Ephb2
Efnb1	Ephb1
Efnb1	Ephb2
Efnb1	Ephb3
Efnb1	Ephb4
Efnb1	Ephb6
Efnb2	Epha4
Efnb2	Ephb1
Efnb2	Ephb2
Efnb2	Ephb3
Efnb2	Ephb4
Efnb2	Ephb6
Efnb3	Epha4
Efnb3	Ephb2
Efnb3	Ephb3
Efnb3	Ephb4
Egf	Egfr
Epgn	Egfr
Epo	Epor
Ereg	Egfr
Ereg	Erbb4
F2	F2r
F2	F2rl1
F2	F2rl2
F2	F2rl3
F7	F3
F8	Lrp1
F9	Lrp1
Faslg	Fas
Faslg	Tnfrsf6b
Fga	Itgax
Fga	Itgb2
Fgf10	Fgfr2
Fgf16	Fgfr2
Fgf16	Fgfr3
Fgf16	Fgfr4
Fgf17	Fgfr1
Fgf17	Fgfr2
Fgf17	Fgfr3
Fgf17	Fgfr4
Fgf18	Fgfr1
Fgf18	Fgfr2
Fgf18	Fgfr3
Fgf18	Fgfr4
Fgf19	Fgfr1
Fgf19	Fgfr2
Fgf19	Fgfr3
Fgf19	Fgfr4
Fgf1	Fgfr1
Fgf1	Fgfr2
Fgf1	Fgfr3
Fgf1	Fgfr4
Fgf22	Fgfr2
Fgf23	Fgfr1
Fgf23	Fgfr2
Fgf23	Fgfr4
Fgf2	Fgfr1
Fgf2	Fgfr2
Fgf2	Fgfr3
Fgf2	Fgfr4
Fgf2	Sdc2
Fgf2	Sdc4
Fgf3	Fgfr1
Fgf3	Fgfr2
Fgf4	Fgfr1
Fgf4	Fgfr2
Fgf4	Fgfr3
Fgf4	Fgfr4
Fgf5	Fgfr1
Fgf5	Fgfr2
Fgf5	Fgfr3
Fgf5	Fgfr4
Fgf6	Fgfr1
Fgf6	Fgfr2
Fgf6	Fgfr4
Fgf7	Fgfr2
Fgf8	Fgfr1
Fgf8	Fgfr2
Fgf8	Fgfr3
Fgf8	Fgfr4
Fgf9	Fgfr1
Fgf9	Fgfr2
Fgf9	Fgfr3
Fgf9	Fgfr4
Figf	Flt4
Figf	Kdr
Figf	Nrp2
Flt3lg	Flt3
Fn1	Itga2
Fn1	Itga2b
Fn1	Itga4
Fn1	Itga5
Fn1	Itga8
Fn1	Itgb1
Fn1	Itgb3
Fn1	Itgb6
Fn1	Itgb8
Fn1	Sdc2
Fshb	Fshr
Galp	Galr1
Galp	Galr2
Galp	Galr3
Gal	Galr1
Gal	Galr2
Gal	Galr3
Gas6	Axl
Gas6	Mertk
Gas6	Tyro3
Gast	Cckbr
Gcg	Gcgr
Gcg	Glp1r
Gcg	Glp2r
Gdf11	Acvr1b
Gdf11	Acvr2a
Gdf11	Acvr2b
Gdf2	Acvrl1
Gdf5	Bmpr1b
Gdf5	Bmpr2
Gdf5	Ror2
Gdf6	Bmpr1a
Gdf6	Bmpr2
Gdf7	Acvr2a
Gdf7	Bmpr1a
Gdf7	Bmpr2
Gdf9	Bmpr2
Gdf9	Tgfbr1
Gdnf	Gfra1
Gdnf	Gfra2
Gdnf	Ret
Gh1	Ghr
Gh2	Ghr
Ghrh	Ghrhr
Ghrh	Vipr1
Ghrl	Ghsr
Ghrl	Gpr39
Gip	Gipr
Gnrh1	Gnrhr
Gnrh2	Gnrhr
Gpha2	Tshr
Gpi	Amfr
Grp	Grpr
Gstp1	Traf2
Guca2a	Gucy2c
Guca2b	Gucy2c
Gzmb	Igf2r
Has2	Cd44
Has2	Hmmr
Hbegf	Egfr
Hbegf	Erbb4
Hcrt	Hcrtr1
Hcrt	Hcrtr2
Hebp1	Fpr3
Hgf	Met
Hla-a	Kir3dl2
Hla-b	Kir3dl1
Hla-c	Kir2dl1
Hla-c	Kir2dl3
Hla-c	Kir2ds4
Hla-e	Klrc1
Hla-e	Klrc2
Hla-e	Klrd1
Hla-g	Kir2dl4
Hla-g	Klrc1
Hla-g	Klrd1
Hla-g	Lilrb1
Hspg2	Ptprs
Iapp	Calcr
Icam1	Itgal
Icam1	Itgax
Icam1	Itgb2
Icam2	Itgal
Icam2	Itgb2
Icam3	Itgal
Icam3	Itgb2
Icam4	Itga2b
Icam4	Itgal
Icam4	Itgam
Icam4	Itgav
Icam4	Itgb2
Icam4	Itgb3
Icam5	Itgal
Icam5	Itgb2
Ifna10	Ifnar1
Ifna10	Ifnar2
Ifna13	Ifnar1
Ifna13	Ifnar2
Ifna14	Ifnar1
Ifna14	Ifnar2
Ifna16	Ifnar1
Ifna16	Ifnar2
Ifna17	Ifnar1
Ifna17	Ifnar2
Ifna1	Ifnar1
Ifna1	Ifnar2
Ifna21	Ifnar1
Ifna21	Ifnar2
Ifna2	Ifnar1
Ifna2	Ifnar2
Ifna4	Ifnar1
Ifna4	Ifnar2
Ifna5	Ifnar1
Ifna5	Ifnar2
Ifna6	Ifnar1
Ifna6	Ifnar2
Ifna7	Ifnar1
Ifna7	Ifnar2
Ifna8	Ifnar1
Ifna8	Ifnar2
Ifnb1	Ifnar1
Ifnb1	Ifnar2
Ifng	Ifngr1
Ifng	Ifngr2
Ifnl1	Ifnlr1
Ifnl1	Il10rb
Ifnl2	Ifnlr1
Ifnl2	Il10rb
Ifnl3	Ifnlr1
Ifnl3	Il10rb
Ifnw1	Ifnar1
Ifnw1	Ifnar2
Igf1	Igf1r
Igf2	Igf1r
Igf2	Igf2r
Igf2	Insr
Ihh	Hhip
Ihh	Ptch1
Il10	Il10ra
Il10	Il10rb
Il11	Il11ra
Il11	Il6st
Il12a	Il12rb1
Il12a	Il12rb2
Il12b	Il12rb1
Il12b	Il12rb2
Il13	Il13ra1
Il13	Il13ra2
Il13	Il2rg
Il13	Il4r
Il15	Il15ra
Il15	Il2rb
Il15	Il2rg
Il16	Cd4
Il17a	Il17ra
Il17b	Il17rb
Il18	Il18r1
Il18	Il18rap
Il18	Il1rapl1
Il19	Il20ra
Il19	Il20rb
Il1a	Il1r1
Il1a	Il1r2
Il1b	Il1r1
Il1b	Il1r2
Il1b	Il1rap
Il1rn	Il1r1
Il1rn	Il1r2
Il20	Il20ra
Il20	Il20rb
Il20	Il22ra1
Il21	Il21r
Il21	Il2rg
Il22	Il10ra
Il22	Il22ra1
Il22	Il22ra2
Il23a	Il12rb1
Il23a	Il23r
Il24	Il20ra
Il24	Il20rb
Il24	Il22ra1
Il25	Il17rb
Il2	Il2ra
Il2	Il2rb
Il2	Il2rg
Il31	Il31ra
Il31	Osmr
Il3	Csf2rb
Il3	Il3ra
Il4	Il13ra1
Il4	Il2rg
Il4	Il4r
Il5	Csf2rb
Il5	Il5ra
Il6	Il6r
Il6	Il6st
Il7	Il2rg
Il7	Il7r
Il8	Cxcr1
Il8	Cxcr2
Il8	Darc
Il9	Il2rg
Il9	Il9r
Inha	Acvr2a
Inha	Tgfbr3
Inhba	Acvr1
Inhba	Acvr1b
Inhba	Acvr2a
Inhba	Acvr2b
Inhba	Bambi
Inhbb	Acvr1
Inhbb	Acvr1b
Inhbb	Acvr2a
Inhbb	Acvr2b
Inhbc	Acvr1
Inhbc	Acvr1b
Inhbc	Acvr2a
Inhbc	Acvr2b
Insl3	Rxfp2
Insl5	Rxfp3
Insl5	Rxfp4
Ins	Insr
Jag1	Notch1
Jag1	Notch2
Jag1	Notch3
Jag1	Notch4
Jag2	Notch1
Jag2	Notch2
Jag2	Notch3
Kiss1	Kiss1r
Kitlg	Kit
Kng1	Bdkrb1
Kng1	Bdkrb2
Kng1	Gpr135
Lama1	Itga7
Lama1	Itgb1
Lama1	Itgb8
Lama1	Rpsa
Lama2	Itga7
Lama2	Itgb1
Lama2	Rpsa
Lamb1	Itga6
Lamb1	Itgb1
Lamb2	Rpsa
Lamc2	Itga3
Lamc2	Itga6
Lamc2	Itgb1
Lamc2	Itgb4
Lefty2	Acvr2b
Lep	Lepr
Lhb	Lhcgr
Lif	Il6st
Lif	Lifr
Liph	Lpar1
Liph	Lpar2
Liph	Lpar4
Lrpap1	Lrp1
Lta	Ltbr
Lta	Tnfrsf14
Lta	Tnfrsf1a
Lta	Tnfrsf1b
Ltb	Cd40
Ltb	Ltbr
Ltf	Lrp1
Ltf	Lrp11
Madcam1	Itga4
Madcam1	Itgb7
Mdk	Alk
Mdk	Ptprz1
Mln	Mlnr
Mmp13	Lrp1
Mmp9	Lrp1
Mst1	Mst1r
Nampt	Insr
Ncam1	Robo1
Ncam1	Robo3
Ndp	Fzd4
Ndp	Lgr4
Ngf	Ngfr
Ngf	Ntrk1
Ngf	Sort1
Nid1	Ptprf
Nlgn1	Nrxn1
Nlgn1	Nrxn3
Nlgn2	Nrxn1
Nlgn2	Nrxn2
Nlgn2	Nrxn3
Nlgn3	Nrxn1
Nlgn3	Nrxn2
Nlgn3	Nrxn3
Nmb	Grpr
Nmb	Nmbr
Nms	Nmur1
Nms	Nmur2
Nmu	Nmur1
Nmu	Nmur2
Nodal	Acvr1b
Nodal	Acvr1c
Nodal	Acvr2a
Nodal	Acvr2b
Nov	Notch1
Npb	Npbwr1
Npb	Npbwr2
Npff	Npffr1
Npff	Npffr2
Npnt	Itga8
Npnt	Itgb1
Nppa	Npr1
Nppa	Npr3
Nppb	Npr1
Nppb	Npr2
Nppb	Npr3
Nppc	Npr2
Nps	Npsr1
Npvf	Npffr1
Npvf	Npffr2
Npw	Npbwr1
Npw	Npbwr2
Npy	Npy1r
Npy	Npy2r
Npy	Npy4r
Npy	Npy5r
Npy	Prlhr
Nrg1	Erbb2
Nrg1	Erbb3
Nrg1	Erbb4
Nrg2	Erbb3
Nrg2	Erbb4
Nrg3	Erbb4
Nrg4	Erbb4
Nrtn	Gfra1
Nrtn	Gfra2
Nrtn	Ret
Ntf3	Ngfr
Ntf3	Ntrk1
Ntf3	Ntrk2
Ntf3	Ntrk3
Ntf4	Ngfr
Ntf4	Ngfrap1
Ntf4	Ntrk1
Ntf4	Ntrk2
Ntn1	Dcc
Ntn1	Unc5c
Ntn3	Cdon
Ntn3	Neo1
Ntn4	Dcc
Ntn4	Unc5a
Ntng1	Lrrc4c
Nts	Ntsr1
Nts	Ntsr2
Nxph1	Nrxn1
Nxph1	Nrxn2
Nxph1	Nrxn3
Nxph3	Nrxn1
Nxph3	Nrxn2
Nxph3	Nrxn3
Omg	Lingo1
Omg	Tnfrsf1b
Osm	Il6st
Osm	Lifr
Osm	Osmr
Ostn	Npr3
Oxt	Avpr1a
Oxt	Avpr1b
Oxt	Avpr2
Oxt	Oxtr
Pdgfa	Pdgfra
Pdgfb	Pdgfra
Pdgfb	Pdgfrb
Pdgfc	Flt4
Pdgfc	Kdr
Pdgfc	Pdgfra
Pdgfd	Pdgfrb
Pdyn	Oprd1
Pdyn	Oprk1
Pdyn	Oprm1
Penk	Mrgprx1
Penk	Ogfr
Penk	Oprd1
Penk	Oprm1
Pf4	Fgfr2
Pf4	Ldlr
Pf4	Procr
Pf4	Thbd
Pgf	Flt1
Pgf	Nrp1
Plat	Lrp1
Plau	Lrp1
Plau	Plaur
Plg	Itga9
Plg	Itgb1
Pmch	Mchr1
Pmch	Mchr2
Pnoc	Oprl1
Podxl2	Sell
Pomc	Mc1r
Pomc	Mc2r
Pomc	Mc3r
Pomc	Mc4r
Pomc	Mc5r
Pomc	Oprd1
Pomc	Oprk1
Pomc	Oprm1
Ppbp	Cxcr1
Ppbp	Cxcr2
Ppy	Npy4r
Ppy	Npy5r
Prlh	Prlhr
Prl	Prlr
Prnd	Rpsa
Proc	Procr
Prok1	Prokr1
Prok1	Prokr2
Prok2	Prokr1
Prok2	Prokr2
Pros1	Axl
Pros1	Tyro3
Psap	Gpr37
Psap	Gpr37l1
Psap	Lrp1
Psen1	Ncstn
Pspn	Gfra4
Pspn	Ret
Ptdss1	Jmjd6
Ptdss1	Scarb1
Ptgs2	Ptgdr2
Pth2	Pth1r
Pth2	Pth2r
Pthlh	Prlhr
Pthlh	Pth1r
Pthlh	Pth2r
Pth	Pth1r
Pth	Pth2r
Ptn	Ptprb
Ptn	Ptprz1
Pyy	Npy1r
Pyy	Npy2r
Pyy	Npy4r
Pyy	Npy5r
Qrfp	P2ry14
Qrfp	Qrfpr
Rarres2	Cmklr1
Rarres2	Gpr1
Reln	Itga3
Reln	Itgb1
Reln	Lrp8
Reln	Vldlr
Ren	Atp6ap2
Rgma	Neo1
Rln1	Rxfp1
Rln1	Rxfp2
Rln2	Rxfp1
Rln2	Rxfp2
Rln3	Rxfp1
Rln3	Rxfp2
Rln3	Rxfp3
Rln3	Rxfp4
Rps19	C5ar1
Rspo1	Lgr4
Rspo1	Lgr5
Rspo1	Lgr6
Rspo1	Lrp6
Rspo2	Lgr4
Rspo2	Lgr5
Rspo2	Lgr6
Rspo3	Lgr4
Rspo3	Lgr5
Rspo3	Lgr6
Rspo4	Lgr4
Rspo4	Lgr5
Rspo4	Lgr6
Rtn4	Lingo1
Rtn4	Rtn4r
Rtn4	Tnfrsf19
Saa1	Fpr2
Sct	Sctr
Selplg	Sele
Selplg	Selp
Sema3a	Nrp1
Sema3a	Plxna1
Sema3a	Plxna2
Sema3a	Plxna4
Sema3b	Nrp1
Sema3c	Nrp2
Sema3e	Plxnd1
Sema3f	Nrp2
Sema3f	Plxna3
Sema4d	Met
Sema4d	Plxnb1
Sema4d	Plxnb2
Sema5a	Met
Sema5a	Plxnb3
Sema6d	Kdr
Sema6d	Plxna1
Sema7a	Plxnc1
Serpina1	Lrp1
Serpinc1	Lrp1
Serpine1	Lrp1
Serpine2	Lrp1
Serping1	Lrp1
Shank1	Lphn1
Shh	Boc
Shh	Cdon
Shh	Hhip
Shh	Ptch1
Shh	Smo
Slit1	Gpc1
Slit1	Robo1
Slit1	Sdc1
Slit2	Gpc1
Slit2	Robo1
Slit2	Robo2
Slit2	Robo4
Slit2	Sdc1
Sost	Lrp5
Sost	Lrp6
Spp1	Cd44
Spp1	Itgav
Sst	Sstr1
Sst	Sstr2
Sst	Sstr3
Sst	Sstr4
Sst	Sstr5
Tac1	Tacr1
Tac1	Tacr2
Tac1	Tacr3
Tac3	Tacr1
Tac3	Tacr2
Tac3	Tacr3
Tac4	Tacr1
Tac4	Tacr3
Tdgf1	Acvr2a
Tfpi	Lrp1
Tfpi	Vldlr
Tf	Tfrc
Tgfa	Egfr
Tgfb1	Acvrl1
Tgfb1	Tgfbr1
Tgfb1	Tgfbr2
Tgfb1	Tgfbr3
Tgfb2	Tgfbr1
Tgfb2	Tgfbr2
Tgfb2	Tgfbr3
Tgfb3	Acvrl1
Tgfb3	Tgfbr1
Tgfb3	Tgfbr2
Tgfb3	Tgfbr3
Tgm2	Gpr56
Thbs1	Cd36
Thbs1	Cd47
Thbs1	Sdc1
Thbs2	Cd47
Thpo	Mpl
Tnfsf10	Tnfrsf10a
Tnfsf10	Tnfrsf10b
Tnfsf10	Tnfrsf10c
Tnfsf10	Tnfrsf10d
Tnfsf10	Tnfrsf11b
Tnfsf11	Tnfrsf11a
Tnfsf11	Tnfrsf11b
Tnfsf12	Tnfrsf12a
Tnfsf12	Tnfrsf25
Tnfsf13b	Tnfrsf13b
Tnfsf13b	Tnfrsf13c
Tnfsf13b	Tnfrsf17
Tnfsf13	Tnfrsf13b
Tnfsf13	Tnfrsf17
Tnfsf14	Ltbr
Tnfsf14	Tnfrsf14
Tnfsf14	Tnfrsf6b
Tnfsf15	Tnfrsf25
Tnfsf18	Tnfrsf18
Tnfsf4	Tnfrsf4
Tnfsf8	Tnfrsf8
Tnfsf9	Tnfrsf9
Tnf	Tnfrsf1a
Tnf	Tnfrsf1b
Tnf	Tnfrsf21
Trh	Trhr
Tshb	Tshr
Ucn2	Crhr1
Ucn2	Crhr2
Ucn3	Crhr2
Ucn	Crhr1
Ucn	Crhr2
Ulbp2	Klrk1
Uts2b	Uts2r
Uts2	Uts2r
Vcam1	Itga4
Vcam1	Itgad
Vcam1	Itgb1
Vcam1	Itgb2
Vegfa	Flt1
Vegfa	Kdr
Vegfa	Nrp1
Vegfa	Nrp2
Vegfb	Flt1
Vegfb	Nrp1
Vegfc	Flt4
Vegfc	Kdr
Vegfc	Nrp2
Vegfc	Vipr2
Vip	Adcyap1r1
Vip	Sctr
Vip	Vipr1
Vip	Vipr2
Vtn	Itga5
Vtn	Itgb3
Wnt11	Fzd7
Wnt1	Fzd3
Wnt1	Fzd8
Wnt1	Fzd9
Wnt1	Ryk
Wnt3a	Fzd6
Wnt3	Fzd8
Wnt3	Lrp6
Wnt3	Ryk
Wnt4	Fzd2
Wnt4	Fzd6
Wnt5a	Fzd2
Wnt5a	Fzd4
Wnt5a	Fzd6
Wnt5a	Fzd7
Wnt5a	Ryk
Wnt7a	Fzd5
Wnt7b	Fzd1
Wnt7b	Fzd10
Wnt7b	Lrp5
Xcl1	Xcr1
Xcl2	Xcr1
Yars	Cxcr1
Zp3	Mertk
